IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
54.65.210.183,54177,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,274,35.98
103.200.30.138,44004,TRUE,NRT,JP,Asia Pacific,Tokyo,138968,rainbow network limited,215,28.38
152.70.246.67,45696,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,373,26.26
131.186.31.253,36688,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,316,25.53
129.154.212.181,44699,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,292,25.34
146.56.162.244,36969,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,374,24.63
152.70.232.251,58474,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,321,23.63
152.70.253.130,61153,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,336,23.54
146.56.179.20,45790,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,326,21.43
146.56.138.226,38178,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,327,19.73
141.164.56.255,40006,TRUE,NRT,JP,Asia Pacific,Tokyo,20473,AS-CHOOPA,456,19.22
141.164.56.255,40009,TRUE,ICN,KR,Asia Pacific,Seoul,20473,AS-CHOOPA,366,18.66
152.70.239.189,42984,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,328,18.53
103.201.130.155,47290,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,337,17.78
168.138.210.152,43164,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,319,17.25
138.2.23.218,47598,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,345,16.84
141.147.176.65,43534,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,343,16.55
146.56.177.67,61153,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,721,16.17
141.147.175.191,41101,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,328,15.91
62.106.70.89,40184,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,517,14.93
141.164.56.255,40003,TRUE,ICN,KR,Asia Pacific,Seoul,20473,AS-CHOOPA,375,14.19
138.2.19.1,61735,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,349,13.87
45.66.128.148,48388,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,567,13.15
140.238.36.35,58068,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,379,12.16
103.117.102.87,56404,TRUE,NRT,JP,Asia Pacific,Tokyo,906,DMIT,186,11.14
141.164.56.255,40010,TRUE,NRT,JP,Asia Pacific,Tokyo,20473,AS-CHOOPA,365,10.97
220.135.84.4,36641,TRUE,NRT,JP,Asia Pacific,Tokyo,3462,Data Communication Business Group,396,10.91
150.230.107.234,41381,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,374,10.58
138.2.21.196,44333,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,372,10.12
38.47.99.230,51443,TRUE,KIX,JP,Asia Pacific,Osaka,400464,VMISS,587,9.90
38.47.110.79,49200,TRUE,KIX,JP,Asia Pacific,Osaka,400464,VMISS,575,9.88
45.66.128.148,50053,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,594,9.76
155.248.183.175,41092,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,340,9.08
167.88.185.60,41847,TRUE,KIX,JP,Asia Pacific,Osaka,400464,VMISS,848,8.94
150.230.107.234,53780,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,362,8.77
193.111.31.133,50896,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,550,8.23
168.138.213.1,50003,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,371,8.22
59.127.223.93,36547,TRUE,NRT,JP,Asia Pacific,Tokyo,3462,Data Communication Business Group,421,8.18
118.219.166.120,37378,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,341,8.11
85.113.70.29,42449,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,548,7.95
222.113.157.221,38825,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,322,7.72
141.164.56.255,40014,TRUE,NRT,JP,Asia Pacific,Tokyo,20473,AS-CHOOPA,450,7.70
222.238.154.82,39852,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,340,7.47
168.126.182.190,37495,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,336,7.40
168.138.196.92,43138,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,412,7.39
222.103.176.231,37187,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,310,7.34
115.137.85.81,36764,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,410,7.26
147.78.243.121,50114,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,610,7.20
59.127.223.93,37430,TRUE,NRT,JP,Asia Pacific,Tokyo,3462,Data Communication Business Group,425,7.12
141.164.56.255,40012,TRUE,NRT,JP,Asia Pacific,Tokyo,20473,AS-CHOOPA,374,7.09
58.230.12.228,37697,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,322,7.04
218.152.105.119,37273,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,334,6.94
1.236.13.140,36333,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,312,6.89
150.230.107.234,47236,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,357,6.88
14.44.61.169,37859,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,309,6.86
220.77.136.79,36429,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,305,6.84
59.24.92.220,38019,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,432,6.75
38.47.111.34,41119,TRUE,KIX,JP,Asia Pacific,Osaka,400464,VMISS,905,6.74
45.66.128.116,48367,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,563,6.70
123.111.198.83,39342,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,367,6.60
59.1.172.186,36987,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,299,6.58
211.230.100.232,38741,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,389,6.56
121.181.128.153,37721,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,329,6.54
122.35.111.172,38562,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,385,6.39
121.155.35.114,36073,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,421,6.39
211.219.249.144,36514,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,360,6.37
122.35.111.172,36316,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,397,6.37
182.224.50.51,37310,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,414,6.33
125.227.70.180,37303,TRUE,NRT,JP,Asia Pacific,Tokyo,3462,Data Communication Business Group,342,6.31
49.172.159.105,36975,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,409,6.30
182.231.142.84,38294,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,426,6.30
61.78.246.83,38766,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,422,6.26
222.119.24.197,39490,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,299,6.25
45.66.128.148,48792,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,561,6.13
210.183.35.135,36729,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,315,6.13
150.230.209.239,51272,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,356,6.10
119.194.34.220,37674,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,383,6.08
112.185.157.81,38720,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,328,6.07
122.35.111.172,36367,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,387,6.07
58.230.12.228,39278,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,329,6.07
119.197.88.5,39109,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,921,5.99
147.78.247.110,50009,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,594,5.99
38.47.111.79,44729,TRUE,KIX,JP,Asia Pacific,Osaka,400464,VMISS,532,5.99
221.157.238.95,36249,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,342,5.97
121.155.35.114,39719,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,435,5.92
182.231.142.84,36485,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,396,5.92
14.56.201.108,39038,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,324,5.90
211.230.100.232,39407,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,389,5.89
121.155.35.114,37592,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,415,5.88
1.221.213.28,36102,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,409,5.87
59.20.178.11,39019,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,386,5.84
182.209.175.112,37926,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,420,5.82
122.35.111.172,39023,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,389,5.77
121.179.166.89,38273,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,385,5.77
182.231.142.84,37001,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,417,5.74
121.155.35.114,36422,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,401,5.69
121.163.47.217,39109,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,333,5.66
122.35.111.172,36569,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,416,5.65
222.111.243.188,38346,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,423,5.63
141.164.56.255,40008,TRUE,ICN,KR,Asia Pacific,Seoul,20473,AS-CHOOPA,255,5.62
